compound,CAS,SMILES,dose,dose.units,Cmax,Cmax.units,Cmax/dose,reference,original.reference,link,note
Antipyrine,60-80-0,CN1N(C(=O)C=C1C)C1=CC=CC=C1,10,mg/kg bw,16.6,mg/L,1.66,Allen1987,Allen1987,https://www.tandfonline.com/doi/abs/10.3109/00498258709043997,Multiple doses given (ones a day). 
Antipyrine,60-80-0,CN1N(C(=O)C=C1C)C1=CC=CC=C1,10,mg/kg bw,14.738,mg/L,1.474,Mey1987,Mey1987,https://link.springer.com/article/10.1007/BF03189863,
Antipyrine,60-80-0,CN1N(C(=O)C=C1C)C1=CC=CC=C1,14.286,mg/kg bw,29,mg/L,2.03,Greenblatt1988,Greenblatt1988,https://www.ncbi.nlm.nih.gov/pubmed/3353439,
Bosentan,147536-97-8,COC1=CC=CC=C1OC1=C(NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)N=C(N=C1OCCO)C1=NC=CC=N1,1.786,mg/kg bw,1.4,mg/L,0.784,Dingemanse2002a,Dingemanse2002a,https://accp1.onlinelibrary.wiley.com/doi/epdf/10.1177/00912700222011300,"Average of fed (tablet), fasted (tabled) and fasted (suspension) "
Bosentan,147536-97-8,COC1=CC=CC=C1OC1=C(NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)N=C(N=C1OCCO)C1=NC=CC=N1,1.786,mg/kg bw,1.8,mg/L,1.008,Dingemanse2002b,Dingemanse2002b,https://www.ncbi.nlm.nih.gov/pubmed/12139208     abstract and in       https://link.springer.com/article/10.2165%2F00003088-200443150-00003,Only results of the healthy subjects included
Bosentan,147536-97-8,COC1=CC=CC=C1OC1=C(NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)N=C(N=C1OCCO)C1=NC=CC=N1,0.893,mg/kg bw,0.617,mg/L,0.691,Giersbergen2002,Giersbergen2002,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1874330/,Multiple doses given (ones a day). 
Bosentan,147536-97-8,COC1=CC=CC=C1OC1=C(NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)N=C(N=C1OCCO)C1=NC=CC=N1,0.043,mg/kg bw,0.034,mg/L,0.793,Weber1996,Weber1996,https://ascpt.onlinelibrary.wiley.com/doi/pdf/10.1016/S0009-9236%2896%2990127-7,1200 and 2400 mg doses omitted omitted from the dataset due to saturation
Bosentan,147536-97-8,COC1=CC=CC=C1OC1=C(NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)N=C(N=C1OCCO)C1=NC=CC=N1,0.143,mg/kg bw,0.12,mg/L,0.84,Weber1996,Weber1996,https://ascpt.onlinelibrary.wiley.com/doi/pdf/10.1016/S0009-9236%2896%2990127-7,1200 and 2400 mg doses omitted omitted from the dataset due to saturation
Bosentan,147536-97-8,COC1=CC=CC=C1OC1=C(NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)N=C(N=C1OCCO)C1=NC=CC=N1,0.429,mg/kg bw,0.46,mg/L,1.073,Weber1996,Weber1996,https://ascpt.onlinelibrary.wiley.com/doi/pdf/10.1016/S0009-9236%2896%2990127-7,1200 and 2400 mg doses omitted omitted from the dataset due to saturation
Bosentan,147536-97-8,COC1=CC=CC=C1OC1=C(NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)N=C(N=C1OCCO)C1=NC=CC=N1,1.429,mg/kg bw,1.56,mg/L,1.092,Weber1996,Weber1996,https://ascpt.onlinelibrary.wiley.com/doi/pdf/10.1016/S0009-9236%2896%2990127-7,1200 and 2400 mg doses omitted omitted from the dataset due to saturation
Bosentan,147536-97-8,COC1=CC=CC=C1OC1=C(NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)N=C(N=C1OCCO)C1=NC=CC=N1,4.286,mg/kg bw,4.62,mg/L,1.078,Weber1996,Weber1996,https://ascpt.onlinelibrary.wiley.com/doi/pdf/10.1016/S0009-9236%2896%2990127-7,1200 and 2400 mg doses omitted omitted from the dataset due to saturation
Bosentan,147536-97-8,COC1=CC=CC=C1OC1=C(NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)N=C(N=C1OCCO)C1=NC=CC=N1,8.571,mg/kg bw,9.49,mg/L,1.107,Weber1996,Weber1996,https://ascpt.onlinelibrary.wiley.com/doi/pdf/10.1016/S0009-9236%2896%2990127-7,1200 and 2400 mg doses omitted omitted from the dataset due to saturation
Bosentan,147536-97-8,COC1=CC=CC=C1OC1=C(NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)N=C(N=C1OCCO)C1=NC=CC=N1,1.429,mg/kg bw,1.105,mg/L,0.774,Weber1999,Weber1999,https://accp1.onlinelibrary.wiley.com/doi/epdf/10.1177/00912709922008344,Multiple doses given (ones a day). 1000 mg dose omitted from the dataset due to saturation
Bosentan,147536-97-8,COC1=CC=CC=C1OC1=C(NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)N=C(N=C1OCCO)C1=NC=CC=N1,2.857,mg/kg bw,3.229,mg/L,1.13,Weber1999,Weber1999,https://accp1.onlinelibrary.wiley.com/doi/epdf/10.1177/00912709922008344,Multiple doses given (ones a day). 1000 mg dose omitted from the dataset due to saturation
Bosentan,147536-97-8,COC1=CC=CC=C1OC1=C(NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)N=C(N=C1OCCO)C1=NC=CC=N1,7.143,mg/kg bw,6.453,mg/L,0.903,Weber1999,Weber1999,https://accp1.onlinelibrary.wiley.com/doi/epdf/10.1177/00912709922008344,Multiple doses given (ones a day). 1000 mg dose omitted from the dataset due to saturation
Bosentan,147536-97-8,COC1=CC=CC=C1OC1=C(NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)N=C(N=C1OCCO)C1=NC=CC=N1,1.786,mg/kg bw,2.534,mg/L,1.419,Giersbergen2003,Giersbergen2003,https://accp1.onlinelibrary.wiley.com/doi/epdf/10.1177/0091270002239701,Only healthy subjects included
Bufuralol,54340-62-4,CCC1=CC=CC2=C1OC(=C2)C(CNC(C)(C)C)O,0.286,mg/kg bw,0.07,mg/L,0.245,Francis1982,Francis1982,https://link.springer.com/content/pdf/10.1007%2FBF00637501.pdf,"(+)-isomer/ (-)-isomer and racemic mixture (no significant differences in Cmax). Cmax estimated based on figure, earliest time point was 2h * 1 male volunteer, 68 kg"
Bufuralol,54340-62-4,CCC1=CC=CC2=C1OC(=C2)C(CNC(C)(C)C)O,0.857,mg/kg bw,0.164,mg/L,0.191,Dayer1981,Dayer1981,https://link.springer.com/article/10.1007%2FBF03189547,
Bufuralol,54340-62-4,CCC1=CC=CC2=C1OC(=C2)C(CNC(C)(C)C)O,0.429,mg/kg bw,0.186,mg/L,0.434,Dayer1982,Dayer1982,https://bpspubs.onlinelibrary.wiley.com/doi/epdf/10.1111/j.1365-2125.1982.tb01453.x,"*1 person, the mother, poor metabolizer (60 years old)"
Bufuralol,54340-62-4,CCC1=CC=CC2=C1OC(=C2)C(CNC(C)(C)C)O,0.429,mg/kg bw,0.112,mg/L,0.261,Dayer1982,Dayer1982,https://bpspubs.onlinelibrary.wiley.com/doi/epdf/10.1111/j.1365-2125.1982.tb01453.x,"* 1 person, the father, good metabolizer (59 years old)"
Bufuralol,54340-62-4,CCC1=CC=CC2=C1OC(=C2)C(CNC(C)(C)C)O,0.429,mg/kg bw,0.176,mg/L,0.411,Dayer1982,Dayer1982,https://bpspubs.onlinelibrary.wiley.com/doi/epdf/10.1111/j.1365-2125.1982.tb01453.x,"* 1 person, young man all this fuzz is about, poor metabolizer (23 years old) "
Bufuralol,54340-62-4,CCC1=CC=CC2=C1OC(=C2)C(CNC(C)(C)C)O,0.429,mg/kg bw,0.433,mg/L,1.01,Dayer1982,Dayer1982,https://bpspubs.onlinelibrary.wiley.com/doi/epdf/10.1111/j.1365-2125.1982.tb01453.x,"* 1 person, the sister of said young man (28 years old)"
